cell50x50,SR
35VME3,27
35VME1,26
35VMF4,27
35VLF3,26
35VMF2,23
35VMF1,24
34VFL4,25
31TGJ2,36
31TGH1,33
30UWE4,24
31TEM1,41
30TXT4,26
31UFQ1,36
31UDR2,35
31UCQ2,31
31UCP1,29
32TLR2,39
30TXN3,36
30TYP2,29
31TBK4,36
31UGP2,33
31TDN3,35
31TEN3,38
31TFM3,40
31TEN4,40
31TCL3,32
31TCK2,30
31TGJ1,41
30UXV2,33
31TEM3,37
30UYU1,32
31TFJ3,43
30TYN2,31
30UVU3,24
30TYN1,42
31TFN3,38
30UUU4,27
32TLQ1,42
32TLQ2,41
30UXU4,32
30TXS2,33
31TGN2,43
31TBL4,28
32TLP3,42
30TXS4,36
30TYT1,36
31TCK1,37
30TXQ4,24
31UEQ4,35
30TXQ1,20
31TGM1,46
32TLT1,39
30UWV3,31
31TDL4,37
31TDL3,34
31UEQ3,36
31UDP1,33
31UFP2,36
31TEK2,42
32UMU1,25
31UDQ2,35
30TXP1,24
30TYQ1,24
31TEL2,39
31TEJ4,36
30UXV3,25
30UUU3,23
30TWT4,32
30TYT2,37
30TXT2,33
31UEP2,32
31UEQ1,32
30TXS1,26
32TKQ3,48
31TCL1,32
31TDH1,43
32TLS2,52
30UXU1,28
32TLP1,46
30UWU2,22
31TEN1,37
32ULU4,35
30TXR4,30
30TXP2,33
31TCM3,42
31TDM4,36
31TCH4,42
31TDK4,31
31TCJ4,36
31UFR2,36
30UXU3,27
30UVU4,28
30UVU2,27
30UXV4,31
31TEL4,29
31TCM4,34
30TXQ2,20
32ULV2,35
31TFN4,39
31UFQ2,34
30UYU2,31
30UVU1,30
31TFM2,40
31TCM2,30
31TDN4,37
31TFM1,40
31TEM4,36
31TDM3,37
32TKP4,37
30TVT3,25
31TGN1,35
31TFJ4,40
31TEN2,38
30TXR3,40
30TXQ3,25
31TFN1,40
31TGM2,50
31TDL2,34
31TDJ3,30
31TFL1,41
31UCQ1,33
31TDL1,29
31UDQ4,33
31TBH4,30
31UEQ2,29
30UXV1,28
31TEK1,37
32TKQ4,47
31TCL2,38
30UWU4,32
30UVV4,17
31UFR1,33
31UDR4,33
31TDJ4,45
31UFQ4,34
31TFN2,40
31UCP2,32
31TCH1,39
31TCL4,35
31TDH3,44
31TFJ2,38
31UEP4,36
31TDJ2,40
32ULV4,33
32TLP2,41
31TGL1,36
31TCK3,40
30TYS2,26
31UDR3,32
30TXP3,25
31UGP1,35
30TYS1,32
30TWT1,30
31TGK2,40
31UFP3,36
31TEL3,33
31UEP3,29
30TWT3,33
31UDQ3,28
31TCH3,39
31TDK1,36
31TDJ1,38
31UDQ1,31
31TDH4,43
31UDS2,33
31TDK2,33
31TCN1,34
31TGK1,46
32TLT2,45
30TXN1,35
31UFP1,35
31UCQ3,32
30TYR1,29
31UFQ3,36
32TPN4,2
33TWN1,5
32TPR3,6
30UUC3,23
32UMG3,21
32UNG3,22
32UMF3,16
32UNG2,20
32UMG1,16
32VNJ4,23
32VNH4,23
33VUC2,24
32VNH2,22
32UNG1,21
32VNH3,23
32VNJ2,22
30UWD3,25
30UWD4,24
30UWD1,22
30UWD2,25
30UXD2,25
35WNT3,12
34SEK2,2
31UFS1,29
31UFS4,30
31UES1,21
35TLM3,3
30VVH1,22
29VPC3,15
34TDL3,10
33TVM2,15
31UES3,30
31UCU2,24
30VUH2,21
30VWH1,22
30UXE4,22
34TDP3,5
34WDA4,14
34VDR3,14
33VWE2,13
33VXG2,22
33VUC4,26
33VUF3,13
33VXF1,21
33VWE3,14
34WDT1,11
34WDV4,13
33VXF3,28
33VWC2,25
33VVC1,21
33VWD3,8
33VVC4,16
33VUD4,16
33VVE3,18
33VVE1,22
33VXF4,20
33VXG1,18
34WEV1,2
33VWF1,22
33VUG4,18
33WXR2,6
33UUB3,26
33UVB1,28
33WWP3,7
33TVN3,26
33TVN1,25
32TQS1,14
30VVK1,19
30VVH3,23
30VVK3,21
30VWJ1,20
30VVJ3,22
30VVK2,23
30VWJ2,23
30VVJ4,22
33TXN1,13
32TMR3,37
32TMS4,46
32TNS2,47
32TMT2,38
32TMT4,42
32TMT3,38
32TMT1,33
32TNR1,37
32TMS3,42
32TNS3,34
32TNS4,35
32TNS1,41
32TNT2,44
32TPS1,28
32TLT4,43
32TNT1,35
32TLT3,41
32TMS1,39
33VWE1,20
33VVK2,8
33VWC3,22
34WEA1,8
33VVC3,21
33VWF3,14
32VPL2,21
34WDV3,10
33VUF4,12
32VPK3,22
33WXQ2,10
33VWK2,7
34WEA4,4
33WXQ1,11
33VVE4,20
32VMH4,19
32VMH3,21
32VNH1,22
32VMH2,16
32UMG4,23
32UNF1,17
32VPH2,20
31UEP1,34
31TFM4,42
32ULA1,31
32UMA2,14
32ULV3,9
31UCS1,28
31UDS4,32
31UCU3,24
34TCP2,12
32VNR4,24
32VNQ2,19
32VPN1,21
32VMR4,17
32VNP1,19
32VLN3,16
32VMQ2,18
32VNL3,21
33WVP1,16
32VPL1,22
32VLP3,16
32VMK2,23
32VNL1,22
33WVM2,17
32VMQ1,20
32VNN3,23
34WEB3,10
32VNN4,18
33WWQ2,12
32VNM4,23
33VUJ3,14
32VLN4,13
33WVP3,16
