cell50x50,SR
31TCN3,134
31TDN1,132
32TMQ1,105
32TMQ3,117
32TMR2,132
32TMR3,131
32TMR4,115
32TNQ1,134
32TNR2,110
33TUL4,120
33TVL1,147
33TVL2,148
29SMC3,108
29SMD3,91
29SMD4,101
29SNB1,106
29SNB2,114
29SNB3,113
29SNC2,91
29SNC3,115
29SNC4,122
29SND1,113
29SND2,116
29SND3,98
29SND4,103
29SNE2,100
29SPB2,114
29SPB3,99
29SPB4,121
29SPC1,114
29SPC4,115
29SPD2,104
29SPD4,132
29SPE2,109
29SPE4,121
29SQA1,145
29SQB1,116
29SQC2,114
29SQD1,123
29SQD2,132
29SQE2,132
29TNF2,100
29TNF3,94
29TNF4,86
29TNG3,109
29TNG4,102
29TNH1,97
29TNH2,108
29TNH3,90
29TNH4,84
29TPE1,106
29TPE3,108
29TPF1,108
29TPF2,98
29TPF3,118
29TPF4,119
29TPG1,124
29TPG2,114
29TPG4,115
29TPH2,89
29TPH4,112
29TQE1,133
29TQF1,132
29TQF2,118
29TQG2,127
29TQH1,109
29TQH2,117
29UPA4,80
29UPB2,83
29UPU4,75
30STF3,134
30STF4,138
30STH3,106
30STJ3,135
30STJ4,130
30STK4,151
30SUF1,122
30SUF3,136
30SUG3,96
30SUG4,125
30SUH2,102
30SUJ1,121
30SUJ2,111
30SUK2,137
30SUK4,134
30SVF1,126
30SVF3,119
30SVG2,125
30SVG3,114
30SVG4,109
30SVH3,106
30SVK4,127
30SWG2,100
30SWH1,115
30SXG3,120
30SXH2,110
30SXH4,134
30SXJ1,96
30SXJ3,108
30SXJ4,115
30SXK2,110
30SXK4,110
30SYH1,119
30SYJ1,135
30SYJ2,124
30SYK2,124
30TTK3,131
30TTL4,131
30TTN3,103
30TTN4,132
30TUK1,131
30TUK3,125
30TUL1,125
30TUL2,130
30TUL3,126
30TUL4,135
30TUM1,118
30TUM2,118
30TUM3,123
30TUM4,122
30TUN1,118
30TUN2,129
30TUN3,118
30TUN4,130
30TUP4,99
30TVK1,141
30TVL1,129
30TVL2,137
30TVL3,127
30TVL4,135
30TVM1,125
30TVM2,122
30TVM3,136
30TVM4,121
30TVN1,130
30TVN2,130
30TVN3,131
30TVN4,131
30TVT1,95
30TVT3,116
30TWK1,128
30TWK3,113
30TWL1,122
30TWL2,122
30TWL4,103
30TWM1,131
30TWM2,129
30TWM3,136
30TWM4,129
30TWN1,130
30TWN2,150
30TWN3,119
30TWN4,137
30TWS3,127
30TWT1,122
30TWT2,111
30TWT3,117
30TWT4,138
30TXK3,106
30TXL3,122
30TXM1,140
30TXM2,135
30TXM3,138
30TXN1,116
30TXN2,143
30TXN3,119
30TXN4,129
30TXP1,107
30TXP2,131
30TXP3,109
30TXP4,119
30TXQ1,110
30TXQ3,123
30TXR1,127
30TXR3,140
30TXR4,134
30TXS1,114
30TXS2,140
30TXS3,122
30TXS4,125
30TXT1,115
30TXT2,140
30TXT3,129
30TXT4,126
30TYK1,112
30TYL1,121
30TYM1,135
30TYM2,115
30TYN1,119
30TYN2,128
30TYQ1,112
30TYQ2,107
30TYR1,127
30TYR2,111
30TYS1,129
30TYT1,129
30TYT2,139
30UUA2,95
30UUB4,88
30UUC3,89
30UUC4,99
30UUG3,105
30UUU3,101
30UUU4,106
30UVA1,103
30UVB2,94
30UVB3,109
30UVB4,107
30UVC2,113
30UVC4,111
30UVD1,122
30UVD3,117
30UVD4,109
30UVE4,114
30UVF1,103
30UVF3,110
30UVF4,107
30UVG1,106
30UVG3,106
30UVG4,104
30UVU1,108
30UVU2,110
30UVU3,100
30UVU4,95
30UVV4,92
30UWB2,110
30UWB3,111
30UWB4,117
30UWC1,104
30UWC2,119
30UWC3,105
30UWC4,115
30UWD1,107
30UWD2,109
30UWD3,118
30UWD4,117
30UWE1,126
30UWE3,116
30UWE4,115
30UWF1,108
30UWF2,120
30UWF3,126
30UWG1,115
30UWG2,99
30UWG4,118
30UWU1,106
30UWU2,97
30UWU3,120
30UWU4,116
30UWV3,105
30UXB2,118
30UXB3,113
30UXB4,114
30UXC1,101
30UXC2,109
30UXC4,114
30UXD1,115
30UXD2,105
30UXD3,104
30UXD4,110
30UXE1,119
30UXE2,122
30UXE3,112
30UXE4,106
30UXF2,114
30UXU1,121
30UXU2,110
30UXU3,116
30UXU4,116
30UXV1,127
30UXV2,115
30UXV3,127
30UXV4,108
30UYU1,113
30UYU2,117
30VUH1,89
30VUH2,81
30VUJ1,85
30VUJ3,93
30VUK4,90
30VVH1,106
30VVH2,111
30VVH3,116
30VVJ1,110
30VVJ2,109
30VVJ3,114
30VVJ4,114
30VVK1,87
30VVK2,106
30VVK3,96
31TBE3,126
31TBF3,128
31TBF4,125
31TBG3,129
31TBG4,136
31TBH3,123
31TBH4,113
31TBJ3,104
31TBJ4,103
31TBK3,105
31TBK4,107
31TBL3,124
31TBL4,110
31TCF1,122
31TCF3,115
31TCG1,124
31TCG2,138
31TCG3,123
31TCG4,118
31TCH1,124
31TCH2,109
31TCH3,129
31TCH4,113
31TCJ1,108
31TCJ2,108
31TCJ3,116
31TCJ4,119
31TCK1,115
31TCK2,108
31TCK3,111
31TCK4,107
31TCL1,115
31TCL2,106
31TCL3,117
31TCL4,115
31TCM1,131
31TCM2,133
31TCM3,137
31TCM4,116
31TCN1,125
31TCN2,128
31TCN4,130
31TDF1,122
31TDG1,130
31TDG2,120
31TDG3,132
31TDG4,118
31TDH1,125
31TDH2,125
31TDH3,145
31TDH4,152
31TDJ1,117
31TDJ2,121
31TDJ3,121
31TDJ4,117
31TDK1,108
31TDK2,119
31TDK3,121
31TDK4,116
31TDL1,112
31TDL2,113
31TDL3,120
31TDL4,124
31TDM1,126
31TDM2,128
31TDM3,126
31TDM4,118
31TDN2,129
31TDN3,132
31TDN4,130
31TEG1,128
31TEH1,137
31TEJ1,123
31TEJ2,135
31TEJ3,121
31TEJ4,140
31TEK1,126
31TEK2,132
31TEK3,131
31TEK4,122
31TEL1,131
31TEL2,126
31TEL3,144
31TEL4,136
31TEM1,128
31TEM2,123
31TEM3,123
31TEM4,131
31TEN1,120
31TEN2,130
31TEN3,121
31TEN4,117
31TFJ1,119
31TFJ2,143
31TFJ3,131
31TFJ4,141
31TFK1,127
31TFK2,126
31TFK3,141
31TFK4,127
31TFL1,137
31TFL2,130
31TFL3,152
31TFL4,135
31TFM1,136
31TFM2,139
31TFM3,133
31TFM4,148
31TFN1,111
31TFN2,124
31TFN3,120
31TFN4,136
31TGH1,107
31TGJ1,129
31TGJ2,127
31TGK1,128
31TGK2,132
31TGL1,135
31TGL2,127
31TGM1,136
31TGM2,135
31TGN1,128
31TGN2,134
31UCP1,109
31UCP2,122
31UCP3,111
31UCP4,116
31UCQ1,134
31UCQ2,111
31UCQ3,128
31UCQ4,111
31UCR2,100
31UCR4,114
31UCS1,117
31UCS2,112
31UCS3,116
31UCT1,117
31UCT2,113
31UCT3,124
31UCT4,100
31UCU2,130
31UCU3,120
31UCU4,116
31UDP1,128
31UDP2,129
31UDP3,133
31UDP4,123
31UDQ1,111
31UDQ3,127
31UDR1,141
31UDR2,117
31UDR3,114
31UDR4,127
31UDS2,134
31UDS4,136
31UDU2,108
31UEP1,131
31UEP2,124
31UEP3,125
31UEP4,128
31UEQ1,133
31UEQ2,119
31UEQ3,125
31UEQ4,122
31UER1,132
31UER2,123
31UER3,126
31UER4,130
31UES1,141
31UES2,125
31UES3,144
31UET3,130
31UET4,142
31UFP1,139
31UFP2,121
31UFP3,118
31UFP4,112
31UFQ1,132
31UFQ2,137
31UFQ3,133
31UFQ4,135
31UFR1,118
31UFR2,125
31UFR3,112
31UFR4,119
31UFS1,132
31UFS3,145
31UFS4,139
31UFT1,142
31UFT2,146
31UFT3,150
31UFT4,146
31UFU1,129
31UFU2,137
31UFU3,139
31UFU4,151
31UFV4,135
31UGP1,124
31UGP2,119
31VFE3,111
31VFF1,108
31VFF2,81
31VFF3,111
31VFF4,131
31VFG2,110
31VFH1,101
31VFH2,113
31VFJ1,95
31VFK2,92
32TKN3,116
32TKP3,134
32TKP4,122
32TKQ3,111
32TKQ4,130
32TKR3,123
32TKR4,127
32TLP1,118
32TLP2,126
32TLP3,113
32TLP4,106
32TLQ1,110
32TLQ2,107
32TLQ3,125
32TLQ4,122
32TLR1,117
32TLR2,109
32TLR3,108
32TLR4,110
32TLS1,140
32TLS2,135
32TLS3,127
32TLS4,127
32TLT1,125
32TLT2,118
32TLT3,139
32TLT4,133
32TMP1,114
32TMQ2,101
32TMQ4,102
32TMR1,100
32TMS1,119
32TMS2,113
32TMS3,112
32TMS4,127
32TMT1,123
32TMT2,127
32TMT3,128
32TMT4,134
32TNQ2,105
32TNQ3,125
32TNQ4,104
32TNR1,130
32TNR3,127
32TNR4,109
32TNS1,114
32TNS2,125
32TNS3,106
32TNS4,126
32TNT1,136
32TNT2,125
32TNT3,133
32TNT4,110
32TPN1,99
32TPN3,97
32TPN4,108
32TPP1,135
32TPP2,116
32TPP3,113
32TPP4,97
32TPQ1,112
32TPQ2,116
32TPQ3,102
32TPQ4,123
32TPR1,116
32TPR2,119
32TPR3,122
32TPR4,107
32TPS1,118
32TPS3,115
32TPS4,121
32TPT1,121
32TPT2,104
32TPT3,127
32TPT4,113
32TQM1,109
32TQN1,103
32TQN2,107
32TQP1,101
32TQP2,111
32TQQ1,92
32TQQ2,118
32TQR1,118
32TQR2,93
32TQS1,107
32TQS2,114
32TQT1,126
32ULA1,115
32ULA2,110
32ULA3,115
32ULA4,109
32ULB1,138
32ULB2,135
32ULB3,120
32ULB4,130
32ULC1,149
32ULC2,141
32ULC3,130
32ULC4,124
32ULD1,150
32ULD2,149
32ULD3,138
32ULD4,132
32ULE2,146
32ULE4,140
32ULU1,134
32ULU2,115
32ULU3,123
32ULU4,137
32ULV1,128
32ULV2,139
32ULV3,112
32ULV4,127
32UMA1,116
32UMA2,127
32UMA3,135
32UMA4,136
32UMB1,110
32UMB2,116
32UMB3,117
32UMB4,123
32UMC1,131
32UMC2,123
32UMC3,128
32UMC4,123
32UMD1,135
32UMD2,136
32UMD3,134
32UMD4,136
32UME2,134
32UME3,141
32UME4,138
32UMF3,148
32UMG1,109
32UMG3,136
32UMG4,137
32UMU1,132
32UMU2,123
32UMU3,116
32UMU4,113
32UMV1,120
32UMV2,135
32UMV3,140
32UMV4,128
32UNA1,117
32UNA2,115
32UNA3,122
32UNA4,130
32UNB1,121
32UNB2,112
32UNB3,125
32UNB4,126
32UNC1,123
32UNC2,118
32UNC3,127
32UNC4,126
32UND1,131
32UND2,141
32UND3,134
32UND4,140
32UNE1,138
32UNE2,141
32UNE3,136
32UNE4,141
32UNF1,135
32UNF2,140
32UNF3,136
32UNF4,139
32UNG1,128
32UNG2,133
32UNG3,126
32UNG4,129
32UNU1,116
32UNU2,127
32UNU3,131
32UNU4,125
32UNV1,110
32UNV2,114
32UNV3,116
32UNV4,115
32UPA1,131
32UPA2,138
32UPA3,116
32UPA4,125
32UPB1,131
32UPB2,124
32UPB3,139
32UPB4,125
32UPC1,130
32UPC2,134
32UPC3,142
32UPC4,141
32UPD1,135
32UPD2,137
32UPD3,143
32UPD4,146
32UPE1,143
32UPE2,145
32UPE3,142
32UPE4,135
32UPF2,135
32UPF4,114
32UPU1,122
32UPU2,126
32UPU3,119
32UPU4,135
32UPV1,123
32UPV2,133
32UPV3,128
32UPV4,131
32UQU1,126
32UQU2,125
32VLK3,104
32VLK4,125
32VLL4,99
32VLM4,89
32VLN3,102
32VLN4,90
32VLP3,85
32VLQ3,74
32VLQ4,92
32VMH2,110
32VMH3,132
32VMH4,126
32VMK1,116
32VMK2,118
32VMK3,122
32VML3,102
32VML4,95
32VMM2,91
32VMM4,99
32VMN1,90
32VMN3,84
32VMN4,104
32VMP3,86
32VMQ1,107
32VMQ2,99
32VMQ3,114
32VMR4,104
32VNH1,130
32VNH2,130
32VNH3,129
32VNH4,125
32VNJ2,136
32VNJ4,133
32VNL1,124
32VNL2,125
32VNL3,134
32VNL4,111
32VNM1,87
32VNM2,123
32VNM3,126
32VNM4,128
32VNN2,88
32VNN3,128
32VNN4,119
32VNP1,102
32VNP2,113
32VNQ1,113
32VNQ2,103
32VNQ4,106
32VNR1,100
32VNR2,120
32VNR3,104
32VNR4,127
32VPH1,110
32VPH2,116
32VPK3,136
32VPK4,134
32VPL1,130
32VPL2,127
32VPL3,111
32VPL4,117
32VPM1,125
32VPM2,133
32VPN1,118
32VPN2,135
32VPP1,101
32VPP2,99
32VPR1,129
32VPR2,112
32WPS1,92
32WPS2,106
32WPT2,73
33SWC4,95
33SWD3,76
33SWE2,76
33SWE4,94
33SXC1,74
33SXD1,111
33SXD2,100
33SXD4,94
33TTG3,104
33TTG4,98
33TTH3,101
33TTH4,93
33TTJ3,111
33TTJ4,98
33TTK3,115
33TTK4,118
33TTL3,116
33TTL4,105
33TUF1,78
33TUG1,102
33TUG2,95
33TUG3,105
33TUG4,103
33TUH1,106
33TUH2,99
33TUH3,103
33TUH4,103
33TUJ1,97
33TUJ2,109
33TUL1,125
33TUL3,144
33TUM1,101
33TUM2,131
33TUM3,119
33TUM4,127
33TUN1,114
33TUN2,108
33TUN3,116
33TUN4,103
33TVE3,74
33TVF1,111
33TVF4,96
33TVG1,106
33TVG2,100
33TVG3,92
33TVG4,108
33TVH1,71
33TVH2,73
33TVL3,145
33TVL4,118
33TVM1,123
33TVM2,120
33TVM3,124
33TVM4,134
33TVN1,111
33TVN2,97
33TVN3,113
33TVN4,114
33TWE1,102
33TWE3,104
33TWF1,85
33TWF2,104
33TWF3,88
33TWF4,90
33TWG2,98
33TWG4,98
33TWJ1,102
33TWJ3,110
33TWK1,96
33TWL1,130
33TWL2,119
33TWL3,120
33TWL4,103
33TWM1,126
33TWM2,133
33TWM3,136
33TWM4,139
33TWN1,106
33TWN2,117
33TWN3,115
33TWN4,122
33TXE1,104
33TXE3,80
33TXF2,87
33TXF4,79
33TXH3,95
33TXJ2,107
33TXK2,88
33TXK3,115
33TXL1,104
33TXL2,118
33TXL3,114
33TXL4,114
33TXM1,126
33TXM2,120
33TXM3,135
33TXM4,119
33TXN1,147
33TXN2,127
33TXN3,134
33TXN4,119
33TYH1,124
33TYJ2,118
33TYL1,114
33TYL2,119
33TYM1,123
33TYM2,117
33TYN1,136
33TYN2,126
33UUA2,133
33UUA4,150
33UUB3,144
33UUB4,116
33UUP1,117
33UUP2,129
33UUP3,121
33UUP4,122
33UUQ1,140
33UUQ2,134
33UUQ3,130
33UUQ4,117
33UUR1,142
33UUR2,138
33UUR3,145
33UUR4,135
33UUS2,136
33UUS3,133
33UUS4,130
33UUT1,135
33UUT2,148
33UUT3,136
33UUT4,142
33UUU3,136
33UUU4,143
33UUV1,137
33UUV2,136
33UUV3,143
33UUV4,141
33UVA2,120
33UVB1,146
33UVB2,112
33UVP1,122
33UVP2,128
33UVP3,119
33UVP4,123
33UVQ1,145
33UVQ2,157
33UVQ3,135
33UVQ4,151
33UVR1,143
33UVR2,138
33UVR3,139
33UVR4,136
33UVS1,137
33UVS2,140
33UVS3,144
33UVS4,138
33UVT1,138
33UVT2,145
33UVT3,142
33UVT4,141
33UVU1,149
33UVU2,146
33UVU3,143
33UVU4,152
33UVV1,149
33UVV2,143
33UVV3,141
33UVV4,144
33UWA2,123
33UWA4,135
33UWP1,133
33UWP2,122
33UWP3,128
33UWP4,128
33UWQ1,135
33UWQ2,134
33UWQ3,138
33UWQ4,141
33UWR1,146
33UWR2,143
33UWR3,141
33UWR4,143
33UWS1,133
33UWS2,135
33UWS3,139
33UWS4,142
33UWT1,137
33UWT2,133
33UWT3,134
33UWT4,140
33UWU1,134
33UWU2,143
33UWU3,137
33UWU4,137
33UWV1,138
33UWV2,137
33UWV3,131
33UWV4,138
33UXA2,138
33UXA3,139
33UXA4,130
33UXP1,141
33UXP2,146
33UXP3,137
33UXP4,139
33UXQ1,134
33UXQ2,149
33UXQ3,147
33UXQ4,147
33UXR1,143
