"cell50x50","SR"
"35VME3",29
"35VME1",29
"35VMF4",29
"35VMF2",24
"35VMF1",26
"33UXP2",16
"31TGJ2",43
"31TGH1",39
"30UWE4",32
"30TXT4",31
"31UFQ1",46
"31UDR2",44
"31UCQ2",40
"31TFM1",51
"31UCP1",38
"30TXN3",44
"30TYP2",36
"31TBK4",44
"30UXV4",39
"31UGP2",41
"31TEM1",52
"31TDN3",45
"31TEN3",48
"31TFM3",51
"31TEN4",52
"30TWT1",35
"31TCL3",41
"31UFQ4",48
"31TCK2",35
"31TGJ1",49
"31TEM3",48
"30UYU1",41
"30TYT1",44
"31TFJ3",52
"30TYN2",38
"30TYN1",53
"31TFN3",47
"30UUU4",29
"30UXV3",29
"31UDR4",40
"32TLQ1",51
"31UEQ3",47
"30UXU4",40
"30TXS2",40
"31TGN2",57
"31TBL4",32
"32TLP3",52
"30TXS4",43
"31TCK1",45
"30TXQ4",29
"31UEQ4",45
"30TXQ1",23
"31TGM1",61
"32TLT1",53
"30UWV3",38
"31TDL4",45
"31TDL3",42
"31UDP1",43
"31UFP2",48
"31TEK2",50
"32UMU1",32
"31UDQ2",47
"30TXP1",25
"30TYQ1",27
"31TEL2",48
"31TEJ4",42
"32TLR2",50
"30UXU1",32
"30TXR3",48
"30TYT2",47
"30TXT2",41
"31UEP2",40
"31UEQ1",46
"31UFQ3",51
"30TXS1",28
"32TKQ3",58
"31TCL1",37
"32TLP2",49
"31TDH1",48
"32TLS2",65
"32TLP1",54
"30UWU2",24
"31TEN2",48
"31TEN1",48
"32ULU4",47
"30TXR4",35
"30TXP2",38
"31TCM3",51
"31TDM4",42
"31TCH4",48
"31TDK4",39
"31TCJ4",44
"31UFR2",47
"30UXU3",34
"30UVU2",30
"31TCL2",48
"30UVU4",34
"31TEL4",35
"31TCM4",42
"31TEM4",44
"30TXQ2",22
"32ULV2",49
"31TFN4",49
"31UFQ2",42
"30UYU2",39
"30UVU1",35
"31TCM2",38
"31TDN4",45
"32TLQ2",51
"31TDM3",46
"32TKP4",47
"31TDK3",45
"31TGM2",62
"31UDS4",43
"30TVT3",27
"31TGN1",47
"31TFJ4",47
"30UXV2",39
"30TXQ3",29
"31TFN1",49
"31TDL2",43
"31TDJ3",34
"31TFL1",50
"31UCQ1",44
"31TDL1",37
"31UDQ4",45
"31TBH4",35
"31UEQ2",38
"30UXV1",32
"32TKQ4",56
"31UDS2",44
"30UVV4",18
"31UFR1",47
"32ULU3",41
"30UVU3",27
"31TFN2",51
"31UCP2",41
"31TFM2",52
"31TCH1",45
"30TWT4",38
"31TCL4",42
"31TFJ2",46
"31UEP4",45
"31UFP3",47
"31UDR3",43
"31TDJ2",48
"31TGK2",50
"32ULV4",46
"31TGL1",45
"31TCK3",51
"31TEK1",42
"30TYS2",31
"30TXP3",29
"31UGP1",48
"30TYS1",42
"31UDQ3",39
"31TEL3",43
"30TWT3",39
"31UEP3",36
"31UDR1",45
"31TCH3",46
"31TDK1",45
"32ULU1",41
"31TDJ1",47
"31UDQ1",40
"31TDH4",46
"31UEP1",43
"31TDK2",43
"30UUU3",25
"31TCN1",43
"31TGK1",55
"31TEL1",45
"32TLT2",59
"31UFP1",46
"31UCQ3",40
"31TCJ1",42
"30TYR1",33
"32TPN4",3
"33TWN1",4
"32TPR3",10
"30UUC3",30
"32UMG3",24
"32UNG3",28
"32UMF3",18
"32UNG2",25
"32UMG1",18
"33VUC2",31
"32VNJ4",30
"32VNH4",31
"32VNH2",26
"32UNG1",26
"32VNH3",29
"32VNJ2",26
"30UWD3",34
"30UWD4",33
"30UWD1",32
"30UWD2",35
"30UXD2",33
"30UXC4",37
"35WNT3",9
"34SEK2",2
"31UFS1",39
"31UFS4",46
"31UES1",26
"35TLM3",3
"30VVH1",26
"29VPC3",15
"34TDL3",14
"33TVM2",22
"31UES3",39
"31UCU2",33
"30VUH2",24
"30VWH1",27
"30UXE4",28
"34TDP3",10
"33VWE1",25
"34VDR3",13
"33VWE2",17
"32VPL2",22
"33VXG2",30
"33VUE4",11
"33VUC4",31
"33VVE4",24
"33VWF3",19
"33VXF1",28
"33VWE3",20
"33VXF3",37
"33VVC1",23
"33VWD3",9
"33VWC2",32
"33VVC4",23
"33VUD4",20
"33VVE3",23
"33VVE1",27
"33VXF4",27
"33VXG1",24
"33VWF1",29
"33VUG4",16
"33VXD2",20
"33VVE2",20
