"cell50x50","SR"
"29UNA4",19
"30SVK4",21
"29UPA2",16
"29UPU3",17
"30SYK2",32
"30TUK1",35
"30TVL2",35
"30UVB1",16
"30TXN2",36
"30UUU4",16
"30UWC1",19
"30UVG3",20
"30UXV1",21
"30UWU4",23
"30UWB4",26
"30UXE3",25
"30UXE2",21
"30VUK4",16
"30VVK2",21
"31TCN4",27
"31TCL3",28
"31TCL4",29
"31TEJ2",32
"31TFK3",44
"31TFM4",37
"31TDN2",27
"31UCR4",26
"31UCU2",29
"31UCS2",26
"31UDR1",30
"31UEP4",26
"31UET4",29
"31UFT3",35
"31UDR4",22
"31UFV4",19
"31VFJ1",36
"32TLQ3",39
"32TLR2",40
"32TMR1",42
"32TMT2",43
"32TQT2",40
"32TNQ2",29
"32TPT3",45
"32TPR1",42
"32ULA4",33
"32ULU4",41
"32UMD3",29
"32UNA3",35
"32UMF3",33
"32UMB3",33
"32UMC1",28
"32UND3",33
"32UNU3",35
"32UPA3",37
"32UPU2",36
"32UPU1",32
"32UPC4",37
"32UQU1",34
"32VML1",39
"32VMQ3",39
"32VNJ2",21
"32VNH2",31
"32VPN2",41
"33TUN4",35
"32VNP2",40
"32VPN1",35
"33TUG4",30
"32VPL4",38
"33TUH4",28
"33TVN2",36
"33TVL4",41
"33TWL3",33
"33UVQ4",43
"33UUT2",34
"33UUQ2",37
"33UVQ3",37
"33UUQ4",40
"33UVU3",35
"33UVR4",36
"33UVT2",35
"33UWQ2",40
"33UWS3",34
"33UWR1",36
"33UXR3",39
"33UXT1",34
"33UXQ1",35
"33UXU4",32
"33UXR4",40
"33VUG4",35
"33VUE3",36
"33VWE3",37
"33VWE2",34
"33VWH4",35
"33VWK2",37
"33WUM4",35
"33VWK1",37
"33WVN1",24
"33WWN2",35
"34TFN3",34
"33WWS4",23
"34TBR4",24
"34TFS1",33
"34UCD1",31
"34UCU3",38
"34UCB2",35
"34UDU1",43
"34UDE2",35
"34UDA2",37
"34UDA4",38
"34UEC2",34
"34UEE3",35
"34UED4",34
"34UEU4",23
"34UFB2",34
"34UFG1",35
"34UFG3",30
"34VEN1",41
"34VEP3",37
"34VFR1",42
"34WFV1",35
"34WCS4",37
"35TLH4",32
"35TLM4",36
"35TMH2",35
"34WDT4",36
"35UMA3",45
"35TLH2",36
"35ULA2",38
"35VLC3",37
"35VLH3",44
"35VMD1",43
"35VLJ3",39
"35VMH4",41
"35VMC3",44
"35VND2",34
"35VMJ1",42
"35VPL1",37
"35WMN4",37
"35WNQ3",32
"35VNH3",43
"35WNQ1",31
"35WNT4",25
"29SMC3",20
"29TNH2",20
"29TPE1",23
"30SUJ1",27
"30SXJ4",26
"30TTN4",28
"30SWH1",16
"30TUN2",30
"30TUN1",33
"30TWN4",35
"30TXN3",37
"30TXS1",24
"30TXS2",25
"30UXU4",26
"30TXQ1",20
"30UVD3",26
"30UXV2",21
"31TBH3",35
"30UWU3",25
"31TCK3",29
"31TDK4",27
"31TDG3",38
"31TCM4",31
"31TEM4",27
"31TEL4",33
"31TEN4",29
"31TGH1",26
"31UCR2",18
"31UCP2",26
"31UCQ1",26
"31UDP3",28
"31UDS2",28
"31UFP1",29
"31UEQ1",28
"31UFS4",33
"32TLT1",39
"32TMQ2",25
"32TMS3",39
"32TNQ1",30
"32TNT2",45
"32TQR1",41
"32TQS1",41
"32ULD4",29
"32ULD1",33
"32ULB4",33
"32UMB1",30
"32UMB2",32
"32UMD4",27
"32UNC2",33
"32UNE3",35
"32UPE2",37
"32UPC3",34
"32UPU4",36
"33TTH3",21
"33TUG2",28
"33TUN1",39
"33TVL3",38
"33TUN2",35
"33TUM3",37
"33TWN3",39
"33TXL3",33
"33TWN2",38
"33UUB3",31
"33TYL2",31
"33UVR3",35
"33UVQ1",40
"33UWU2",34
"33UVS4",37
"33UWU4",34
"33UWS1",36
"33UWU3",35
"34SEH1",20
"34SEK4",28
"34TDP4",24
"34UCA1",32
"34UDE4",37
"34UDF2",39
"34UEC1",34
"34UDV1",41
"34UFD3",43
"35TLN1",32
"30UWF2",24
"32ULD3",31
"32UNB4",38
"32UPD2",36
"32UPF4",24
"33UUR2",41
"33TWN1",39
"33UUA4",36
"33UUS3",33
"33UUT3",33
"33UVT1",34
"33UXU3",31
"33UXV1",34
"33UXU2",34
"33UXV4",34
"33UXV3",37
"33VUD2",35
"33VVC2",39
"33VVF4",36
"33VWF2",34
"34UCA3",35
"34TFN4",42
"34UCA4",36
"34UCD3",34
"34UCU1",34
"34UCV2",43
"34UDB3",36
"34UDB4",35
"34UEB1",33
"34UEG4",38
"34VDR3",41
"34VEN3",42
"34VCM4",38
"34VFL3",40
"34VFN1",40
"34VEQ1",44
"35TKF3",41
"35TLN4",30
"35ULA3",35
"35VME2",42
"35VLE4",44
"35VME3",43
"35VMF3",43
"35VMJ4",38
"35VNC1",34
"35VNJ1",39
"35VPK1",40
"30UVD2",27
"30TVT1",15
"30TXS4",22
"30TYS1",24
"30TWT4",18
"30TYQ1",21
"30UVA1",25
"30UVB2",21
"30UVC3",25
"30UWE1",27
"31TCJ4",23
"30UXE1",24
"30UXC1",21
"31TCM1",28
"31TEJ1",39
"31TDG1",37
"31TEL3",36
"31TDN4",27
"31TFK1",35
"31UCQ4",25
"31TFN1",27
"31UCT2",23
"31UDP2",27
"31UFQ2",31
"31UFP2",26
"31UFR3",32
"31UFP4",23
"32TLS3",45
"31VFH1",32
"31UGP2",30
"32TMQ4",29
"32TPP2",19
"32TPS1",39
"32ULC4",26
"32ULB1",29
"32TPT2",36
"32ULA3",35
"32UNA4",36
"32UMU4",37
"32UNU2",33
"32UPC2",42
"32UPU3",31
"32VLK4",36
"32VMN3",37
"32VNH1",28
"32VNM3",40
"32VNN3",42
"32VNL2",39
"32VNL3",39
"33TVM4",42
