cell50x50,SR
31TCN3,90
31TDN1,87
32TMQ1,76
32TMQ3,84
32TMR2,90
32TMR3,88
32TMR4,80
32TNQ1,92
32TNR2,75
33TUL4,80
33TVL1,89
33TVL2,99
34SDH3,54
34SDJ1,76
34SDK4,69
34SEH4,68
34SFF1,58
34SFF2,35
34SFF3,43
34SFG3,49
34SFG4,48
34SFH2,61
34SFH4,51
34SGH1,47
35TLF1,77
35TLF3,83
35TLG4,94
35TMF1,80
35TMF2,100
35TMG2,92
35TMG3,85
35TMG4,79
35TNG3,102
30STF4,93
29SMC3,75
29SMD3,61
29SMD4,67
29SNB1,62
29SNB2,73
29SNB3,72
29SNC2,60
29SNC3,74
29SNC4,82
29SND1,75
29SND2,78
29SND3,66
29SND4,67
29SNE2,65
29SNE4,58
29SPB2,77
29SPB3,58
29SPB4,82
29SPC1,76
29SPC4,76
29SPD2,69
29SPD4,86
29SPE2,71
29SPE4,78
29SQA1,100
29SQA2,75
29SQB1,76
29SQC2,70
29SQD1,80
29SQD2,92
29SQE2,90
29TMH3,47
29TNF3,59
29TNF4,57
29TNG1,70
29TNG2,65
29TNG3,72
29TNG4,69
29TNH1,62
29TNH2,72
29TNH3,60
29TNH4,56
29TPE1,74
29TPE3,70
29TPF1,71
29TPF2,64
29TPF3,75
29TPF4,76
29TPG1,80
29TPG2,75
29TPG4,77
29TPH2,61
29TPH4,71
29TPJ2,49
29TQE1,87
29TQF1,84
29TQF2,71
29TQG2,80
29TQH1,72
29TQH2,72
29UNT3,58
29UPV4,64
30STF3,90
30STH3,68
30STJ3,89
30STJ4,89
30STK4,105
30SUF1,81
30SUF2,61
30SUF3,89
30SUG3,63
30SUG4,82
30SUH2,62
30SUJ1,77
30SUJ2,68
30SUK2,89
30SUK4,88
30SVF1,80
30SVF3,82
30SVG1,62
30SVG2,77
30SVG3,71
30SVG4,67
30SVH3,63
30SVK4,86
30SWF1,83
30SWG1,66
30SWG2,59
30SWG3,52
30SWH1,67
30SXG3,87
30SXH2,68
30SXH4,95
30SXJ1,59
30SXJ3,69
30SXJ4,68
30SXK2,70
30SXK4,74
30SYH1,82
30SYJ1,98
30SYJ2,83
30SYK2,85
30TTK3,84
30TTL4,81
30TTN3,69
30TTN4,84
30TUK1,82
30TUK3,81
30TUL1,73
30TUL2,78
30TUL3,74
30TUL4,85
30TUM1,73
30TUM2,70
30TUM3,75
30TUM4,75
30TUN1,76
30TUN2,82
30TUN3,75
30TUN4,82
30TUP4,66
30TVK1,95
30TVL1,80
30TVL2,90
30TVL3,78
30TVL4,87
30TVM1,77
30TVM2,78
30TVM3,84
30TVM4,75
30TVN1,80
30TVN2,80
30TVN3,83
30TVN4,81
30TVT3,77
30TWK1,85
30TWK3,73
30TWL1,73
30TWL2,77
30TWL4,65
30TWM1,85
30TWM2,80
30TWM3,84
30TWM4,80
30TWN1,86
30TWN2,100
30TWN3,79
30TWN4,88
30TWS3,83
30TWT1,82
30TWT2,75
30TWT3,77
30TWT4,91
30TXK3,67
30TXL3,75
30TXM1,93
30TXM2,87
30TXM3,93
30TXN1,74
30TXN2,90
30TXN3,77
30TXN4,88
30TXP1,72
30TXP2,87
30TXP3,65
30TXP4,77
30TXQ3,83
30TXR1,84
30TXR3,90
30TXR4,90
30TXS1,78
30TXS2,90
30TXS3,82
30TXS4,80
30TXT1,78
30TXT2,89
30TXT3,87
30TXT4,84
30TYK1,70
30TYL1,77
30TYM1,88
30TYM2,77
30TYN1,79
30TYN2,86
30TYQ1,74
30TYQ2,68
30TYR1,79
30TYR2,73
30TYS1,84
30TYT1,87
30TYT2,90
30UUA2,65
30UUA3,63
30UUB4,59
30UUC4,65
30UUG3,76
30UUG4,69
30UUU3,67
30UUU4,75
30UVA1,73
30UVB1,61
30UVB2,62
30UVB3,71
30UVB4,73
30UVD1,86
30UVD2,65
30UVD3,73
30UVD4,67
30UVF1,78
30UVF3,71
30UVG3,64
30UVG4,62
30UVU1,70
30UVU2,72
30UVU3,62
30UVU4,58
30UWB2,72
30UWB3,69
30UWB4,83
30UWC1,66
30UWC2,79
30UWC3,65
30UWC4,73
30UWD1,62
30UWD2,68
30UWD3,73
30UWD4,76
30UWE1,80
30UWE3,70
30UWE4,70
30UWF1,66
30UWF2,77
30UWF3,86
30UWG1,81
30UWG2,63
30UWG4,84
30UWU1,74
30UWU2,60
30UWU3,79
30UWU4,77
30UXB2,76
30UXB3,73
30UXB4,76
30UXC1,63
30UXC2,69
30UXC4,73
30UXD1,74
30UXD2,67
30UXD3,68
30UXD4,71
30UXE1,74
30UXE2,76
30UXE3,77
30UXE4,66
30UXF2,75
30UXU1,77
30UXU2,71
30UXU3,76
30UXU4,76
30UXV1,84
30UXV2,71
30UXV3,81
30UYU1,69
30UYU2,75
30VUJ3,56
30VUJ4,57
30VVH1,66
30VVH2,72
30VVH3,76
30VVJ1,78
30VVJ2,64
30VVJ3,77
30VVJ4,72
30VVK2,72
31TBE3,89
31TBF3,85
31TBF4,83
31TBG3,81
31TBG4,90
31TBH3,84
31TBH4,74
31TBJ3,71
31TBJ4,69
31TBK3,71
31TBK4,73
31TBL3,78
31TBL4,73
31TCF1,75
31TCF2,93
31TCF3,72
31TCG1,78
31TCG2,85
31TCG3,82
31TCG4,72
31TCH1,80
31TCH2,71
31TCH3,79
31TCH4,73
31TCJ1,76
31TCJ2,73
31TCJ3,83
31TCJ4,87
31TCK1,76
31TCK2,74
31TCK3,73
31TCK4,69
31TCL1,78
31TCL2,70
31TCL3,75
31TCL4,77
31TCM1,89
31TCM2,93
31TCM3,89
31TCM4,77
31TCN1,80
31TCN2,83
31TCN4,87
31TDF1,82
31TDG1,85
31TDG2,76
31TDG3,83
31TDG4,77
31TDH1,82
31TDH2,81
31TDH3,96
31TDH4,99
31TDJ1,78
31TDJ2,84
31TDJ3,74
31TDJ4,74
31TDK1,74
31TDK2,78
31TDK3,82
31TDK4,75
31TDL3,75
31TDL4,80
31TDM1,88
31TDM2,85
31TDM3,90
31TDM4,80
31TDN2,88
31TDN3,88
31TDN4,93
31TEG1,86
31TEH1,93
31TEJ1,77
31TEJ2,94
31TEJ3,79
31TEJ4,100
31TEK1,78
31TEK2,83
31TEK3,85
31TEK4,77
31TEL1,84
31TEL2,87
31TEL3,99
31TEL4,91
31TEM1,89
31TEM2,86
31TEM3,84
31TEM4,90
31TEN1,84
31TEN2,89
31TEN3,84
31TEN4,76
31TFJ1,82
31TFJ2,96
31TFJ3,85
31TFJ4,98
31TFK1,88
31TFK2,87
31TFK3,92
31TFK4,82
31TFL1,95
31TFL2,81
31TFL3,103
31TFL4,83
31TFM1,94
31TFM2,90
31TFM3,93
31TFM4,100
31TFN1,73
31TFN2,86
31TFN3,82
31TFN4,95
31TGH1,75
31TGJ1,87
31TGJ2,87
31TGK1,84
31TGK2,85
31TGL2,86
31TGM1,89
31TGN1,90
31TGN2,92
31UCP1,71
31UCP2,77
31UCP3,76
31UCP4,72
31UCQ2,66
31UCQ3,80
31UCQ4,72
31UCR4,76
31UCS1,75
31UCS2,72
31UCS3,75
31UCT1,74
31UCT2,72
31UCT3,78
31UCT4,65
31UCU2,83
31UCU3,81
31UCU4,72
31UDP1,83
31UDP2,78
31UDP3,88
31UDP4,81
31UDQ1,72
31UDQ3,86
31UDR1,91
31UDR2,75
31UDR3,72
31UDR4,80
31UDS2,87
31UDS4,84
31UDU2,71
31UEP1,87
31UEP2,85
31UEP3,83
31UEP4,86
31UEQ1,87
31UEQ2,78
31UEQ3,88
31UEQ4,82
31UER2,79
31UER4,86
31UFP2,84
31UFP3,78
31UFQ1,90
31UFQ4,93
31UGP2,83
32TKN3,80
32TKP3,89
32TKP4,79
32TKQ4,84
32TKR4,84
32TLP1,75
32TLP2,83
32TLP3,70
32TLP4,72
32TLQ2,71
32TLT1,83
32TLT3,90
32TMP1,72
32TMQ2,69
32TMQ4,65
32TMR1,66
32TNP3,75
32TNQ2,71
32TNQ3,87
32TNQ4,65
32TNR3,87
32TNR4,75
32TPN1,69
32TPN3,64
32TPN4,81
32TPP1,91
32TPP2,80
32TPP3,76
32TPP4,67
32TPQ1,80
32TPQ2,82
32TPQ4,86
32TPR2,80
32TPR4,73
32TQM1,77
32TQN2,73
32TQP1,64
32TQP2,73
32TQQ2,85
32ULU4,88
32UMU1,85
32UMV2,91
33TTH3,68
33TTJ3,78
33TTJ4,65
33TTL3,79
33TUJ1,69
33TUL1,88
33TUL3,99
31UCQ1,86
31UCR2,64
31UER1,85
29UMA4,47
29UMT1,54
29UMT2,52
29UMT4,52
29UMU3,52
29UMV2,60
29UMV4,54
29UNA1,50
29UNA2,58
29UNA3,51
29UNA4,50
29UNB4,63
29UNT1,47
29UNT2,54
29UNU2,54
29UNU3,50
29UNU4,51
29UNV4,50
29UPA2,45
29UPA4,55
29UPB2,61
29UPB4,54
29UPU3,66
29UPU4,53
29UPV2,50
29VPC3,58
30TUP2,64
30TVT1,66
30TXQ1,71
30TXQ2,67
30UUC3,60
30UUF1,61
30UUF2,56
30UUG1,51
30UVC1,66
30UVC2,71
30UVC3,63
30UVC4,67
30UVE4,75
30UVF4,77
30UVG1,66
30UVG2,57
30UVV4,70
30UWV3,74
30UXV4,67
30VUH1,57
30VUH2,54
30VUH3,58
30VUK3,67
30VUK4,65
30VVK1,62
30VVK3,75
30VVK4,54
30VVL4,57
31TDL1,72
31TDL2,75
31TGL1,90
31TGM2,93
31UER3,82
31UES1,89
31UES2,80
31UES3,91
31UET3,79
31UET4,91
31UFP1,92
31UFP4,75
31UFQ2,96
31UFQ3,90
31UFR1,75
31UFR2,79
31UFR3,69
31UFR4,76
31UFS1,81
31UFS3,89
31UFS4,89
31UFT1,88
31UFT2,93
31UFT3,91
31UFT4,86
31UFU1,86
31UFU2,85
31UFU3,86
31UFU4,95
31UFV4,87
31UGP1,83
31VFF4,90
32TKQ3,68
32TKR3,83
32TLQ1,69
32TLQ3,88
32TLQ4,83
32TLR1,79
32TLR2,74
32TLR3,74
32TLR4,75
32TLS1,94
32TLS2,93
32TLT2,80
32TLT4,89
32TMS4,86
32TMT1,80
32TMT3,87
32TNR1,88
32TNS2,84
32TNS4,84
32TNT1,90
32TNT2,82
32TNT3,85
32TNT4,70
32TPQ3,76
32TPR1,73
32TPR3,77
32TPS3,77
32TPS4,76
32TPT1,79
32TPT3,77
32TQN1,72
32TQQ1,68
32TQR1,76
32TQR2,62
32TQS1,70
32TQS2,73
32TQT1,79
32ULA2,69
32ULA3,72
32ULA4,68
32ULB1,84
32ULB2,85
32ULB3,74
32ULB4,78
32ULC1,93
32ULC2,82
32ULC3,78
32ULC4,76
32ULD1,90
32ULD2,90
32ULD3,86
32ULD4,80
32ULE2,94
32ULE4,85
32ULU1,88
32ULU2,71
32ULU3,77
32ULV1,87
32ULV2,92
32ULV3,71
32ULV4,81
32UMA1,73
32UMA2,80
32UMA3,85
32UMA4,88
32UMB1,67
32UMB2,74
32UMB3,72
32UMB4,78
32UMC1,81
32UMC2,77
32UMC3,80
32UMC4,77
32UMD1,82
32UMD2,81
32UMD3,81
32UMD4,83
32UME2,83
32UME3,89
32UME4,85
32UMF3,91
32UMG1,68
32UMG3,88
32UMG4,88
32UMU2,77
32UMU3,74
32UMU4,71
32UMV1,76
32UMV3,90
32UMV4,83
32UNA1,73
32UNA2,78
32UNA3,76
32UNA4,84
32UNB1,76
32UNB2,69
32UNB3,79
32UNB4,81
32UNC1,75
32UNC2,74
32UNC3,84
32UNC4,79
32UND1,81
32UND2,87
32UND3,82
32UND4,92
32UNE1,85
32UNE2,86
32UNE3,81
32UNE4,86
32UNF1,80
32UNF2,85
32UNF3,84
32UNF4,89
32UNG1,81
32UNG2,87
32UNG3,86
32UNG4,84
32UNU1,73
32UNU2,83
32UNU3,83
32UNU4,80
32UNV1,70
32UNV2,74
32UNV3,75
32UNV4,72
32UPA1,85
32UPA2,88
32UPA3,74
32UPA4,80
32UPB1,83
32UPB2,79
32UPB3,87
32UPB4,80
32UPC1,86
32UPC2,86
32UPC3,93
32UPC4,91
32UPD1,86
32UPD2,88
32UPD3,89
32UPD4,92
32UPE1,89
32UPE2,92
32UPE3,95
32UPE4,87
32UPF2,88
32UPF4,73
32UPU1,78
32UPU2,79
32UPU3,73
32UPU4,88
32UPV1,78
32UPV2,83
32UPV3,81
32UPV4,86
32UQU1,81
32UQU2,81
32VLK4,77
32VMH2,70
32VMH3,85
32VMH4,78
32VMK2,72
32VNH1,80
32VNH2,78
32VNH3,80
32VNH4,83
32VNJ2,89
32VNJ4,85
32VNL1,72
32VNL2,77
32VNL3,84
32VNL4,65
32VNM4,79
32VNR3,71
32VPH1,67
32VPH2,74
32VPK3,87
32VPK4,86
32VPL1,84
32VPL2,83
32VPL3,66
32VPM1,75
32VPM2,79
32VPN2,82
32VPR1,84
33SWC4,64
33SWE4,62
33SXC1,48
33SXD1,74
33SXD4,65
33TTG3,70
33TTG4,72
33TTH4,65
33TTK3,84
33TTK4,89
33TTL4,78
33TUF3,54
33TUG1,70
33TUG2,65
33TUG3,73
33TUG4,71
33TUH1,71
33TUH2,71
33TUH3,73
33TUH4,70
33TUJ2,72
33TUM2,86
33TUM3,75
33TUM4,79
33TUN1,71
33TUN3,71
33TVF1,73
33TVF4,67
33TVG1,72
33TVG3,65
33TVG4,73
33TVH1,52
33TVH2,57
33TVK3,70
33TVL3,90
33TVL4,77
33TVM1,80
33TVM2,76
33TVM3,77
33TVM4,85
33TVN4,74
33TWE1,71
33TWF2,76
33TWF3,68
33TWG2,69
33TWG4,63
33TWJ1,67
33TWJ3,73
33TWL1,81
33TWL2,78
33TWL3,81
33TWL4,66
33TWM1,81
33TWM2,86
33TWM3,89
33TWM4,94
33TWN1,66
33TWN2,73
33TWN3,73
33TWN4,80
33TXE1,70
33TXF2,60
33TXH3,61
33TXJ2,74
33TXK1,70
33TXK3,78
33TXL1,71
33TXL2,80
33TXL3,80
33TXL4,79
33TXM1,78
33TXM2,80
33TXM3,90
33TXM4,83
33TXN1,100
33TXN2,83
33TXN3,94
33TXN4,79
33TYH1,86
33TYK1,59
33TYK2,52
33TYL1,82
33TYL2,79
33TYM1,84
33TYM2,74
33TYN1,92
33TYN2,88
33UUA2,81
33UUA4,95
33UUB3,87
33UUB4,74
33UUP1,75
33UUP2,82
33UUP3,79
33UUP4,78
33UUQ1,88
33UUQ2,87
33UUQ3,84
33UUQ4,72
33UUR1,87
33UUR2,89
33UUR3,94
33UUR4,87
33UUS2,85
